コントロールカラム,ディレクトリid,パス名
,565494,花・ガーデン・DIY >> DIY・工具 >> 手動工具 >> ドライバー・レンチ >> ソケットアダプター
,565495,花・ガーデン・DIY >> DIY・工具 >> 手動工具 >> ドライバー・レンチ >> その他
,565506,花・ガーデン・DIY >> DIY・工具 >> 手動工具 >> 手動穴あけ工具 >> ポンチ
,565507,花・ガーデン・DIY >> DIY・工具 >> 手動工具 >> 固定工具 >> クランプ
,565510,花・ガーデン・DIY >> DIY・工具 >> 電動工具 >> 電動ドライバー・電動ドリル >> ハンマードリル
,565515,花・ガーデン・DIY >> DIY・工具 >> 電動工具 >> 電動切断工具 >> バンドソー
,565536,花・ガーデン・DIY >> 木材・建築資材・設備 >> キッチン用設備 >> ビルトインキッチン家電 >> 換気扇・レンジフード
,565646,日用品雑貨・文房具・手芸 >> 文房具・事務用品 >> 手帳・ノート >> その他
,564040,CD・DVD >> Blu-ray >> TVドキュメンタリー >> スポーツ
,553640,CD・DVD >> Blu-ray >> TVドキュメンタリー >> その他
,564043,CD・DVD >> Blu-ray >> TVドキュメンタリー >> タレント
,564041,CD・DVD >> Blu-ray >> TVドキュメンタリー >> 宇宙・科学
,564039,CD・DVD >> Blu-ray >> TVドキュメンタリー >> 宗教
,564038,CD・DVD >> Blu-ray >> TVドキュメンタリー >> 動物・人体・自然
,564042,CD・DVD >> Blu-ray >> TVドキュメンタリー >> 旅・紀行
,564036,CD・DVD >> Blu-ray >> TVドキュメンタリー >> 歴史・地理
,553526,CD・DVD >> Blu-ray >> TVドラマ >> アジア
,505038,CD・DVD >> Blu-ray >> TVドラマ >> その他
,553525,CD・DVD >> Blu-ray >> TVドラマ >> 海外
,553527,CD・DVD >> Blu-ray >> TVドラマ >> 韓国
,553647,CD・DVD >> Blu-ray >> 趣味・実用・教養 >> フィットネス・ヨガ
,553641,CD・DVD >> Blu-ray >> 趣味・実用・教養 >> 鉄道
,553648,CD・DVD >> Blu-ray >> 趣味・実用・教養 >> 動物・ペット
,553642,CD・DVD >> Blu-ray >> 趣味・実用・教養 >> 飛行機
,553645,CD・DVD >> Blu-ray >> 趣味・実用・教養 >> 美術・工芸
,553646,CD・DVD >> Blu-ray >> 趣味・実用・教養 >> 旅行
,553644,CD・DVD >> Blu-ray >> 趣味・実用・教養 >> 歴史・地理
,568235,CD・DVD >> Blu-ray >> 舞台 >> オペラ
,505046,CD・DVD >> Blu-ray >> 舞台 >> その他
,568236,CD・DVD >> Blu-ray >> 舞台 >> バレエ
,553672,CD・DVD >> Blu-ray >> 舞台 >> ミュージカル
,553673,CD・DVD >> Blu-ray >> 舞台 >> 演劇
