"コントロールカラム","ジャンルid","パス名"
"","310806","インテリア・寝具>クッション・ファブリック>クッションカバー"
"","310807","インテリア・寝具>クッション・ファブリック>ソファカバー"
"","310808","インテリア・寝具>クッション・ファブリック>タペストリー"
"","310809","インテリア・寝具>クッション・ファブリック>テーブルクロス"
"","310810","インテリア・寝具>クッション・ファブリック>テーブルランナー"
"","310811","インテリア・寝具>クッション・ファブリック>マルチカバー"
"","310812","インテリア・寝具>クッション・ファブリック>座布団"
"","310813","インテリア・寝具>クッション・ファブリック>座布団カバー"
"","310801","インテリア・寝具>クッション・ファブリック>その他クッション・ファブリック"
"","310902","インテリア・寝具>ソファ・ソファベッド>オットマン"
"","310903","インテリア・寝具>ソファ・ソファベッド>カウチソファ"
"","310904","インテリア・寝具>ソファ・ソファベッド>コーナーソファ"
"","310905","インテリア・寝具>ソファ・ソファベッド>ソファ"
"","310906","インテリア・寝具>ソファ・ソファベッド>ソファベッド"
"","310907","インテリア・寝具>ソファ・ソファベッド>ベンチソファ"
"","310908","インテリア・寝具>ソファ・ソファベッド>リクライニングソファ"
"","310909","インテリア・寝具>ソファ・ソファベッド>ローソファ"
"","310910","インテリア・寝具>ソファ・ソファベッド>ソファセット"
"","310911","インテリア・寝具>ソファ・ソファベッド>ハイバックソファ"
"","310901","インテリア・寝具>ソファ・ソファベッド>その他ソファ・ソファベッド"
"","311002","インテリア・寝具>テーブル>エクステンションテーブル（伸張式）"
"","311003","インテリア・寝具>テーブル>カウンターテーブル"
"","311004","インテリア・寝具>テーブル>コレクションテーブル"
"","311005","インテリア・寝具>テーブル>コンソールテーブル"
"","311006","インテリア・寝具>テーブル>サイドテーブル"
"","311007","インテリア・寝具>テーブル>センターテーブル・ローテーブル"
"","311008","インテリア・寝具>テーブル>ダイニングセット"
"","311009","インテリア・寝具>テーブル>ダイニングテーブル"
"","311010","インテリア・寝具>テーブル>ナイトテーブル"
"","311011","インテリア・寝具>テーブル>ポットワゴン"
"","311012","インテリア・寝具>テーブル>リフティングテーブル（昇降式）"
"","311013","インテリア・寝具>テーブル>座卓"
"","311014","インテリア・寝具>テーブル>コーヒーテーブル"
"","311001","インテリア・寝具>テーブル>その他テーブル"
"","311101","インテリア・寝具>デスク>L字型デスク"
"","311103","インテリア・寝具>デスク>オフィスデスク"
"","311104","インテリア・寝具>デスク>パソコンラック"
"","311105","インテリア・寝具>デスク>ローデスク"
"","311106","インテリア・寝具>デスク>学習机・勉強机"
"","311107","インテリア・寝具>デスク>平机・フリーデスク"
"","311108","インテリア・寝具>デスク>折りたたみデスク"
"","311109","インテリア・寝具>デスク>文机"
"","311110","インテリア・寝具>デスク>書斎机"
"","311102","インテリア・寝具>デスク>その他デスク"
"","311201","インテリア・寝具>ベッド>2段ベッド"
"","311202","インテリア・寝具>ベッド>3段ベッド"
"","311204","インテリア・寝具>ベッド>ウォーターベッド"
"","311205","インテリア・寝具>ベッド>フレーム・マットレスセット"
"","311206","インテリア・寝具>ベッド>ベッドフレーム"
"","311207","インテリア・寝具>ベッド>ベッド部品・メンテナンス用品"
"","311208","インテリア・寝具>ベッド>マッサージ台"
"","311209","インテリア・寝具>ベッド>ロフト・システムベッド"
"","311210","インテリア・寝具>ベッド>子供用ベッド"
"","311211","インテリア・寝具>ベッド>折りたたみベッド"
"","311212","インテリア・寝具>ベッド>畳ベッド"
"","311213","インテリア・寝具>ベッド>脚付きマットレス"
"","311214","インテリア・寝具>ベッド>電動・リクライニングベッド"
"","311203","インテリア・寝具>ベッド>その他ベッド"
"","31130202","インテリア・寝具>ライト・照明>シーリングライト>キッチンライト"
"","31130203","インテリア・寝具>ライト・照明>シーリングライト>シャンデリア"
"","31130204","インテリア・寝具>ライト・照明>シーリングライト>シーリングファン"
"","31130205","インテリア・寝具>ライト・照明>シーリングライト>シーリングライト"
"","31130206","インテリア・寝具>ライト・照明>シーリングライト>スポットライト"
"","31130207","インテリア・寝具>ライト・照明>シーリングライト>ダウンライト"
"","31130208","インテリア・寝具>ライト・照明>シーリングライト>ベースライト"
"","31130209","インテリア・寝具>ライト・照明>シーリングライト>ペンダントライト"
"","31130210","インテリア・寝具>ライト・照明>シーリングライト>吹き抜け照明"
"","31130211","インテリア・寝具>ライト・照明>シーリングライト>浴室灯"
"","31130212","インテリア・寝具>ライト・照明>シーリングライト>和風照明"
"","31130201","インテリア・寝具>ライト・照明>シーリングライト>その他シーリングライト"
"","31130302","インテリア・寝具>ライト・照明>スタンドライト>テーブルスタンド"
"","31130303","インテリア・寝具>ライト・照明>スタンドライト>フロアスタンド"
"","31130301","インテリア・寝具>ライト・照明>スタンドライト>その他スタンドライト"
"","31130402","インテリア・寝具>ライト・照明>デスクライト>クランプ（万力）"
"","31130403","インテリア・寝具>ライト・照明>デスクライト>ベースタイプ"
"","31130401","インテリア・寝具>ライト・照明>デスクライト>その他デスクライト"
"","311305","インテリア・寝具>ライト・照明>フットライト"
"","31130602","インテリア・寝具>ライト・照明>ランプ>アロマランプ"
"","31130603","インテリア・寝具>ライト・照明>ランプ>オーキッドランプ"
"","31130604","インテリア・寝具>ライト・照明>ランプ>キャンドルタイプ"
"","31130605","インテリア・寝具>ライト・照明>ランプ>テーブルランプ"
"","31130606","インテリア・寝具>ライト・照明>ランプ>ペンダントランプ"
"","31130607","インテリア・寝具>ライト・照明>ランプ>ランタン"
"","31130608","インテリア・寝具>ライト・照明>ランプ>岩塩ランプ"
"","31130609","インテリア・寝具>ライト・照明>ランプ>紙ランプ"
"","31130601","インテリア・寝具>ライト・照明>ランプ>その他ランプ"
"","31130702","インテリア・寝具>ライト・照明>壁掛けライト>ニッチライト・ピクチャーライト"
