コントロールフラグ,商品番号,商品カテゴリ名,商品カテゴリID
n,10337,ミズノ,6036
n,10339,シューズ,10338
n,10341,1号球,10340
n,10342,2号球,10340
n,10343,3号球,10340
n,10344,ドッジボール用品,5280
n,10347,シューズ,10346
n,10348,ミズノ,9405
n,10349,ウェア,12665
n,10350,ボール,12665
n,10352,ミカサ,6889
n,10353,ミカサ,6890
n,10354,ミカサ,6891
n,10355,その他,6872
n,10357,記念品,10356
n,10358,ストラップ,10356
n,10360,ボール,10359
n,10361,バッグ,10359
n,10362,アクセサリ・小物,10359
n,10363,設備・備品,10359
n,10364,ミカサ,7301
n,10365,ミカサ,6900
n,10366,ミカサ,6902
n,10368,ミカサ,7148
n,10369,コーナーフラッグ,7968
n,10370,コーン,7968
n,10371,ゴール,7968
n,10372,ビブス,7968
n,10373,その他,7968
n,10374,ウェア,7151
n,10375,フラッグ,7151
n,10376,ホイッスル,7151
n,10377,カード,7151
n,10378,その他,7151
n,10382,ボールバッグ,5982
n,10384,ボール,10383
n,10385,バッグ,10383
n,10386,レフェリーグッズ,10383
n,10387,設備・備品,10383
n,10388,作戦盤,7968
n,10389,ストラップ,6113
n,10390,アクセサリ・小物,10383
n,10391,ミカサ,7314
n,10392,ミカサ,7316
n,10393,ミカサ,7318
n,10395,ボール,10394
n,10396,アクセサリ・小物,10394
n,10397,設備・備品,10394
n,10398,バッグ,5919
n,10399,ストラップ,9124
n,10400,ミカサ,7305
n,10402,ボール,10401
n,10403,設備・備品,10401
n,10404,作戦盤,7969
n,10405,その他,7969
n,10406,ビブス,7969
n,10407,ビブス,7345
n,10408,ビブス,7320
n,10409,スキンズ,10309
n,10411,柔道衣,10410
n,10412,帯,10410
n,10414,空手衣,10413
n,10415,帯,8006
n,10417,タイマー・対戦ボード,10416
n,10418,設備・備品,10410
n,10419,審判用品,8009
n,10420,審判用品,10410
n,10421,ラインテープ,10416
n,10422,帯,10413
n,10423,サポーター・プロテクター,8006
n,10424,サポーター・プロテクター,10413
n,10425,タグラグビー用品,5901
