No,mall,ID,ID2
1,rakuten,210943,racket
2,yahoo,racket,racket
5,ponpare,racket,racket
4,amazon,
6,rakuten,268994,luckpiece
7,yahoo,luckpiece,luckpiece
8,rakuten,280598,sportsplaza
9,yahoo,sportsplaza,sportsplaza
10,rakuten,272479,honpo
11,yahoo,bb-plaza,bb-plaza
13,yahoo,honpo,honpo
3,jisha,
