検索条件タグ1,検索条件1,検索条件タグ2,検索条件2,検索条件タグ3,検索条件3,検索条件タグ4,検索条件4
st=A,を全て含む,sf=1,商品名、商品番号で探す,s=1,標準,v=2,写真付き一覧
st=O,をいずれかを含む,sf=0,-,s=2,価格が安い,v=3,ウィンドウショッピング
,,,,s=3,価格が高い,,
,,,,s=4,レビューの件数が多い,
